,names,pvals,logfoldchanges,condition,cellline
20014,LAPTM4A,1.9940073705181565e-22,0.1766194850206375,sorafenib,A549
20015,DNAJB9,2.1136199767602333e-22,0.1697352975606918,sorafenib,A549
20016,RSL24D1,2.240329921048531e-22,0.1788682490587234,sorafenib,A549
20017,DDX10,6.572205098428065e-22,0.2048314660787582,sorafenib,A549
20018,ZFR,1.139819003489941e-21,0.2301058769226074,sorafenib,A549
20019,HMOX1,1.9845515607505787e-21,-0.1167155802249908,sorafenib,A549
22000,DDB2,1.5199091594703e-56,0.3345571458339691,gemcitabine,A549
22001,PMAIP1,8.117921216870174e-48,0.4695772230625152,gemcitabine,A549
22002,CDKN1A,8.349680071191126e-48,0.6160010099411011,gemcitabine,A549
22003,BLCAP,2.0940941254606094e-43,0.3213095963001251,gemcitabine,A549
22004,AEN,1.6653477281964318e-39,0.3218016922473907,gemcitabine,A549
