,names,pvals,logfoldchanges,condition,cellline
2033678,KCTD9,1.9173805672727527e-15,-0.3881037533283233,zileuton,MCF7
2033679,GSK3B,2.092808726183551e-15,-0.4530499577522278,zileuton,MCF7
2033680,TXLNG,2.097172670888685e-15,-0.5823608636856079,zileuton,MCF7
2033681,RAP1B,2.8582996638710986e-15,-0.4634196162223816,zileuton,MCF7
2035662,CDKN1A,4.286613308166657e-34,0.2207035720348358,neratinib,MCF7
2035663,DDIT4,1.1012086353802416e-31,0.2102509140968322,neratinib,MCF7
2035664,ST6GALNAC2,6.1236575560595564e-30,0.3094968497753143,neratinib,MCF7
2035665,RETREG2,2.4235224596102308e-28,0.2538706660270691,neratinib,MCF7
2035666,HDAC6,2.861618886999727e-28,0.3891949951648712,neratinib,MCF7
2035667,TRIP13,5.842061929177997e-28,-0.2168886065483093,neratinib,MCF7
2035668,BIRC5,7.852012479009433e-28,-0.2208025008440017,neratinib,MCF7
2035669,ZFYVE26,1.555171094159204e-27,0.3353882133960724,neratinib,MCF7
2035670,ENPP4,4.2321028370262085e-27,0.2799965739250183,neratinib,MCF7
2035671,CCNA2,9.144056947049848e-27,-0.2277700006961822,neratinib,MCF7
2035672,TSPAN4,4.151538842280452e-26,-0.2324730902910232,neratinib,MCF7
2035673,FBXW4,3.397992969015228e-25,0.2203445732593536,neratinib,MCF7
2035674,TSC22D3,4.188180930482798e-24,0.2109389752149582,neratinib,MCF7
2035675,TSR1,1.4410095978643146e-23,-0.2110840827226638,neratinib,MCF7
2035676,GRN,1.898057783881401e-23,0.1667601913213729,neratinib,MCF7
2035677,CERS2,9.910258004664861e-23,0.1806405782699585,neratinib,MCF7
2035678,NLE1,1.0536336915453698e-22,-0.3474934101104736,neratinib,MCF7
2035679,PIK3R3,3.4646263049722767e-22,0.2745741307735443,neratinib,MCF7
2035680,HMOX1,1.0046356189544837e-21,0.2155399322509765,neratinib,MCF7
2035681,FOXO3,2.1726352821853685e-21,0.1852362006902694,neratinib,MCF7
2037662,SPAG7,2.539029183618444e-31,0.1725184470415115,resveratrol,MCF7
2037663,HSD17B10,5.323642069002136e-31,0.1175233274698257,resveratrol,MCF7
2037664,TNIP1,7.315340234469484e-28,0.1030003130435943,resveratrol,MCF7
2037665,SREBF2,5.7239650750438416e-27,0.2638797163963318,resveratrol,MCF7
2037666,STK19,1.4635387591376856e-25,0.238752856850624,resveratrol,MCF7
2037667,CDYL,5.140437787979379e-25,-0.2277605980634689,resveratrol,MCF7
2037668,ANKZF1,5.255548323674025e-25,0.2313897609710693,resveratrol,MCF7
2037669,NMRK2,6.394579656322933e-25,0.1918086260557174,resveratrol,MCF7
